,date,open,close,high,low,volume,code
1381,2013-02-05,23.435,23.412,23.805,23.038,427945.0,601318
1382,2013-02-06,23.532,24.397,24.614,23.528,485988.0,601318
1383,2013-02-07,24.226,24.258,24.536,23.703,471374.0,601318
1384,2013-02-08,24.212,23.985,24.392,23.546,308156.0,601318
1385,2013-02-18,24.059,22.899,24.152,22.816,427487.0,601318
1386,2013-02-19,22.904,22.548,22.992,22.183,455349.0,601318
1387,2013-02-20,22.511,22.548,22.636,22.201,261916.0,601318
1388,2013-02-21,22.201,21.605,22.234,21.207,538227.0,601318
1389,2013-02-22,21.494,21.244,21.586,21.17,204765.0,601318
1390,2013-02-25,21.392,21.175,21.739,20.939,225126.0,601318
1391,2013-02-26,20.953,20.787,21.415,20.731,426800.0,601318
1392,2013-02-27,20.916,20.893,21.263,20.801,313446.0,601318
1393,2013-02-28,21.147,21.757,21.767,20.893,522860.0,601318
1394,2013-03-01,21.757,21.24,21.794,20.847,477427.0,601318
1395,2013-03-04,20.801,19.728,20.893,19.46,805872.0,601318
1396,2013-03-05,19.853,20.315,20.385,19.585,483190.0,601318
1397,2013-03-06,20.477,20.579,20.643,20.297,462957.0,601318
1398,2013-03-07,20.338,20.158,20.426,19.853,324422.0,601318
1399,2013-03-08,20.26,20.301,20.551,20.056,290243.0,601318
1400,2013-03-11,20.209,19.969,20.408,19.913,354949.0,601318
1401,2013-03-12,19.927,19.992,20.278,19.784,452131.0,601318
1402,2013-03-13,19.969,19.705,20.038,19.617,291282.0,601318
1403,2013-03-14,19.77,19.774,19.885,19.566,225490.0,601318
1404,2013-03-15,19.419,19.377,20.246,19.211,423047.0,601318
1405,2013-03-18,19.183,18.781,19.377,18.758,361687.0,601318
1406,2013-03-19,18.799,19.224,19.243,18.799,224988.0,601318
1407,2013-03-20,19.206,19.918,19.996,19.201,370519.0,601318
1408,2013-03-21,19.918,19.95,20.186,19.839,233639.0,601318
1409,2013-03-22,19.969,19.927,20.19,19.844,216635.0,601318
1410,2013-03-25,20.121,19.802,20.241,19.65,195850.0,601318
1411,2013-03-26,19.714,19.414,19.848,19.409,374320.0,601318
1412,2013-03-27,19.506,19.474,19.761,19.442,262314.0,601318
1413,2013-03-28,18.998,18.975,19.021,18.489,370700.0,601318
